Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.61,0.61,0.33025147495541535
100% Corpus,5,0.61,0.9099999999999999,0.35104140834147013
100% Corpus,5,0.61,symmetric,0.2875894248803498
100% Corpus,5,0.9099999999999999,0.01,0.27914142962412575
100% Corpus,5,0.9099999999999999,0.31,0.3208462591889095
100% Corpus,5,0.9099999999999999,0.61,0.3315225341182053
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.31993988412948954
100% Corpus,5,0.9099999999999999,symmetric,0.3199122097657756
100% Corpus,5,symmetric,0.01,0.260842574520463
100% Corpus,5,symmetric,0.31,0.2720133407115836
100% Corpus,5,symmetric,0.61,0.4140927915464596
100% Corpus,5,symmetric,0.9099999999999999,0.4586633162980508
100% Corpus,5,symmetric,symmetric,0.27437315417408203
100% Corpus,5,asymmetric,0.01,0.25707212606258134
100% Corpus,5,asymmetric,0.31,0.32873871954980755
100% Corpus,5,asymmetric,0.61,0.3960518188512371
100% Corpus,5,asymmetric,0.9099999999999999,0.44152290849939096
100% Corpus,5,asymmetric,symmetric,0.24248350230596052
100% Corpus,6,0.01,0.01,0.27162269580884213
100% Corpus,6,0.01,0.31,0.35614878413778
100% Corpus,6,0.01,0.61,0.4376149187221439
100% Corpus,6,0.01,0.9099999999999999,0.39586728589436126
100% Corpus,6,0.01,symmetric,0.30393529800641694
100% Corpus,6,0.31,0.01,0.2567787483929427
100% Corpus,6,0.31,0.31,0.2881981442966534
100% Corpus,6,0.31,0.61,0.3714336949160791
100% Corpus,6,0.31,0.9099999999999999,0.4395883962397662
100% Corpus,6,0.31,symmetric,0.26943122622894516
100% Corpus,6,0.61,0.01,0.28953432904328685
100% Corpus,6,0.61,0.31,0.31063932502232555
100% Corpus,6,0.61,0.61,0.31759807805463164
100% Corpus,6,0.61,0.9099999999999999,0.37187733498599435
100% Corpus,6,0.61,symmetric,0.3029328695514176
100% Corpus,6,0.9099999999999999,0.01,0.2725499405613779
100% Corpus,6,0.9099999999999999,0.31,0.3254668982173259
100% Corpus,6,0.9099999999999999,0.61,0.3396832118127006
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.31650662370457733
100% Corpus,6,0.9099999999999999,symmetric,0.30899612242239105
100% Corpus,6,symmetric,0.01,0.2583660491065416
100% Corpus,6,symmetric,0.31,0.2995699391800091
100% Corpus,6,symmetric,0.61,0.39447458265596236
100% Corpus,6,symmetric,0.9099999999999999,0.43688507811969224
100% Corpus,6,symmetric,symmetric,0.2748855928449702
100% Corpus,6,asymmetric,0.01,0.25099491460983336
100% Corpus,6,asymmetric,0.31,0.2850634555965291
100% Corpus,6,asymmetric,0.61,0.40114321398498903
100% Corpus,6,asymmetric,0.9099999999999999,0.45005757001085556
100% Corpus,6,asymmetric,symmetric,0.23596953700156595
100% Corpus,7,0.01,0.01,0.28274432135858235
100% Corpus,7,0.01,0.31,0.3272206841448072
100% Corpus,7,0.01,0.61,0.46407210706730606
100% Corpus,7,0.01,0.9099999999999999,0.45940877702437705
100% Corpus,7,0.01,symmetric,0.27682431705123217
100% Corpus,7,0.31,0.01,0.2588482001514775
100% Corpus,7,0.31,0.31,0.3053720602755425
100% Corpus,7,0.31,0.61,0.3623675045654999
100% Corpus,7,0.31,0.9099999999999999,0.4514847856475984
100% Corpus,7,0.31,symmetric,0.2721725745003846
