,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
17,17,1.0,0.95,"lower, collect, insurance, discounts, traditional, ability, able, data, rates, vehicles","with the ability to collect driving data continuously from its vehicles and to provide discounts for the use of autopilot we believe tesla will be able to offer rates lower than traditional insurance companies "" "
18,18,9.0,0.8714,"self, full, coming, elon, tesla, musk, month, says, beta, soon", elon promises self driving autopilot beta in a month or so so question 
19,19,9.0,0.9,"self, full, coming, elon, tesla, musk, month, says, beta, soon",google news - tesla's full self-driving autopilot beta coming in 'a month or so' 
20,20,9.0,0.91,"self, full, coming, elon, tesla, musk, month, says, beta, soon",tesla's elon musk promises full self-driving autopilot beta in 'a month or so' via 
21,21,9.0,0.9357,"self, full, coming, elon, tesla, musk, month, says, beta, soon",maybe possibly in a month or so &gt &gt tesla's elon musk promises full self-driving autopilot beta in 'a month or so' 
22,22,9.0,0.8875,"self, full, coming, elon, tesla, musk, month, says, beta, soon", elon musk promises full self-driving autopilot beta in 'a month or so' 
23,23,9.0,0.9,"self, full, coming, elon, tesla, musk, month, says, beta, soon",elon musk says full self-driving autopilot beta coming out in about a month 
24,24,9.0,0.925,"self, full, coming, elon, tesla, musk, month, says, beta, soon",elon musk says tesla's full self-driving autopilot is coming soon and it's 'clearly going to work' 
25,25,2.0,0.9308,"self, musk, full, elon, says, tesla, coming, soon, see, relevante",la mas relevante tesla elon musk says full self-driving autopilot is coming soon see more 
26,26,2.0,0.925,"self, musk, full, elon, says, tesla, coming, soon, see, relevante",top story tesla elon musk says full self-driving autopilot is coming soon see more 
27,27,4.0,0.9609,"full, tesla, beta, musk, self, month, promises, elon, version, hardware",i can see that some s korean media misunderstand the meaning of full self-driving version of tesla autopilot hopes to reveal private beta version not the real car of something related to hardware we need better understanding of this 
28,28,5.0,0.94,"self, tesla, full, elon, musk, says, coming, month, beta, drive",tesla's elon musk promises full self-driving autopilot beta in 'a month or so' tesla batteryday technology elonmusk selfdriving mt 
29,29,3.0,0.9182,"self, full, month, elon, beta, musk, promises, sallam, tesla, another", $1000 for another paint color autopilot is included self-driving $8k and new enhanced autopilot is $4k more miles more performance starts $9k+ 
30,30,9.0,0.9667,"self, full, coming, elon, tesla, musk, month, says, beta, soon",elon musk says tesla's full self-driving autopilot is coming soon and it's 'clearly going to work' the next step in the self-driving revolution is coming in 'a month or so says tesla ceo elon musk teasing the company's full self-driving autopilot 
31,31,0.0,0.5187,"self, musk, tesla, elon, coming, full, soon, says, clearly, work",elon musk says tesla's full self-driving autopilot is coming soon and it's 'clearly going to work' news usa usafeeds today usatoday
32,32,9.0,0.9308,"self, full, coming, elon, tesla, musk, month, says, beta, soon",elon musk says tesla's full self-driving autopilot is coming soon and it's 'clearly going to work' business
33,33,4.0,0.95,"full, tesla, beta, musk, self, month, promises, elon, version, hardware",tesla's elon musk promises full self-driving autopilot beta in 'a month or so' attendees showed their approval for musk's promise by honking the horns of their safety bubbles 
34,34,9.0,0.9,"self, full, coming, elon, tesla, musk, month, says, beta, soon",tesla elon musk says full self-driving autopilot is coming soon 
35,35,5.0,0.9,"self, tesla, full, elon, musk, says, coming, month, beta, drive",tesla reintroduces enhanced autopilot offering cheaper alternative to full self-driving 
36,36,9.0,0.9,"self, full, coming, elon, tesla, musk, month, says, beta, soon",elon musk says full self-driving autopilot beta coming out in amonth 
37,37,2.0,0.8714,"self, musk, full, elon, says, tesla, coming, soon, see, relevante",elon musk says full self-driving autopilot is comingsoon 
38,38,9.0,0.6816,"self, full, coming, elon, tesla, musk, month, says, beta, soon",tesla's elon musk promises full self-driving autopilot beta in 'a month or so' - roadshow 
