,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
18,18,9.0,0.491,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",marketing seo wordpress brightedgepromises self-driving seo with new autopilot offering 
19,19,9.0,0.82,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering searchengineland 
20,20,9.0,0.9437,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering read more here seo sem junglebolt marketing advertising digitalmarketing spring porttownsend seattle google bing
21,21,2.0,0.85,"seo, new, offering, self, tips, business, marketing, growthhacking, greg, socialmedia",brightedgepromises self-driving seo with new autopilot offering ppc 
22,22,9.0,0.85,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering via 
23,23,4.0,0.6041,"seo, new, self, offering, search, engine, land, news, marketing, sterling",nwn news brightedgepromises self-driving seo with new autopilot offering 
24,24,4.0,0.955,"seo, new, self, offering, search, engine, land, news, marketing, sterling","brightedgepromises self-driving seo with new autopilot offering"" by greg sterling via search engine land news info about seo ppc sem search engines search marketing "
25,25,9.0,0.85,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering seo
26,26,4.0,0.8714,"seo, new, self, offering, search, engine, land, news, marketing, sterling",brightedgepromises self-driving seo with new autopilot offering seo search
27,27,2.0,0.8714,"seo, new, offering, self, tips, business, marketing, growthhacking, greg, socialmedia",brightedgepromises self-driving seo with new autopilot offering digital marketing 
28,28,4.0,0.8714,"seo, new, self, offering, search, engine, land, news, marketing, sterling",seo news brightedgepromises self-driving seo with new autopilot offering --- searchengineland
29,29,9.0,0.82,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google","brightedgepromises self-driving seo with new autopilot offering"" "
30,30,2.0,0.8714,"seo, new, offering, self, tips, business, marketing, growthhacking, greg, socialmedia",brightedgepromises self-driving seo with new autopilot offering by greg sterling - 
31,31,2.0,0.8714,"seo, new, offering, self, tips, business, marketing, growthhacking, greg, socialmedia",brightedgepromises self-driving seo' with new autopilot offering seo ppc 
32,32,4.0,0.8875,"seo, new, self, offering, search, engine, land, news, marketing, sterling","new post ""brightedgepromises self-driving seo with new autopilot offering"" yandexseo"
33,33,9.0,0.85,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering seo 
34,34,9.0,0.8714,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering seo onlinemarketing
35,35,9.0,0.94,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",sel &gt brightedgepromises self-driving seo with new autopilot offering &gt marketing optimisation analysis seo sem smo smm
36,36,9.0,0.85,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering onlinemarketing 
37,37,2.0,0.9182,"seo, new, offering, self, tips, business, marketing, growthhacking, greg, socialmedia",brightedgepromises self-driving seo with new autopilot offering digitalmarketing business growthhacking seo socialmedia smallbiz tips
38,38,9.0,0.775,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offeringdigitalmarketing 
39,39,3.0,0.7654,"seo, new, offering, self, land, search, engine, ai, promises, brightedge",brightedge promises self-driving seo with new autopilot offering search engine land brightedge promises 
40,40,9.0,0.9182,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",sengineland brightedge promises self-driving seo with new autopilot offering by gsterling via twitter 
41,41,9.0,0.8875,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google", &lt - brightedgepromises self-driving seo with new autopilot offering seo onlinemarketing
42,42,4.0,0.8714,"seo, new, self, offering, search, engine, land, news, marketing, sterling",news supdeseo brightedgepromises self-driving seo with new autopilot offering 
43,43,9.0,0.82,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering digitalmarketing 
44,44,1.0,0.9571,"seo, new, self, offering, visit, land, engine, search, tasks, fully",brightedgepromises self-driving seo with new autopilot offering by greg sterling key seo tasks can now be fully automated according to the company please visit search engine land for the full article 
45,45,4.0,0.8875,"seo, new, self, offering, search, engine, land, news, marketing, sterling",search engine land brightedgepromises self-driving seo with new autopilot offering 
46,46,4.0,0.85,"seo, new, self, offering, search, engine, land, news, marketing, sterling",brightedgepromises self-driving seo with new autopilot offering search
47,47,9.0,0.8875,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offeringbrightedgepromises self-driving seo with new autopilot offering 
48,48,9.0,0.85,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",seo brightedgepromises self-driving seo with new autopilot offering 
49,49,9.0,0.85,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering marketing
50,50,9.0,0.8714,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering seo localseo digitalmarketing 
51,51,9.0,0.8875,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedgepromises self-driving seo with new autopilot offering via digitalmarketing marketing seo 
52,52,9.0,0.82,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google", brightedgepromises self-driving seo with new autopilot offering 
53,53,9.0,0.8875,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",new from sengineland brightedgepromises self-driving seo with new autopilot offering seo
54,54,4.0,0.8714,"seo, new, self, offering, search, engine, land, news, marketing, sterling",brightedgepromises self-driving seo with new autopilot offering search seo
55,55,9.0,0.5931,"seo, offering, self, new, marketing, via, onlinemarketing, gt, sem, google",brightedge promises self-driving seo with new autopilot offering by 
56,56,7.0,0.9182,"seo, tasks, key, self, offering, new, promises, brightedge, engine, please",brightedge promises self-driving seo with new autopilot offering key seo tasks can seo
57,57,1.0,0.9526,"seo, new, self, offering, visit, land, engine, search, tasks, fully",autopilot like those who are new to driving it needs to learn and practice on the roads with observation and help of people until it is mature enough to make decisions as quickly as humans it is not natural that autopilot can drive itself perfectly 
58,58,5.0,0.9,"still, tesla, jackpot, hit, trust, yet, even, perfect, seo, self", you hit the jackpot i still trust tesla autopilot more than my driving and its not even perfect yet 
59,59,6.0,0.95,"seo, offering, self, new, eng, search, selfdrivingcar, autonomouscar, using, member",autopilot continues to save more and more members each day member couldn't have been more glad to be using autopilot as this car completely cuts him off the tech is the future of driving consistent and not erratic like most drivers cheers 
60,60,8.0,0.9,"seo, offering, new, self, land, engine, promises, brightedge, force, thank",fell asleep at the wheel recently driving from virginia beach to nyc thank you for lka 
